Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,sec,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:06,68,0,0.234,3.052,0,0,95,40,1,1,1768.85076,1454.777048,2127.303766,0,2713.183608,0,1768.85076,1
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:07,69,0,0.234,3.052,0,0,95,40,1,1,1768.85076,1454.777048,2127.303766,0,2713.183608,0,1768.85076,1
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:08,70,1479.22241,0.234,3.052,0.8957977,0,95,40,1,1,1747.843724,1439.120093,2106.375802,1,2692.56617,0,1747.843724,1
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:09,71,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1747.843724,1439.120093,2106.375802,1,2692.56617,0,1747.843724,1
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:10,72,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1747.843724,1439.120093,2106.375802,1,2692.56617,0,1747.843724,1
290.1,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:11,73,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1735.732156,1444.477459,2094.372105,1,2680.713286,0,1735.732156,1
290.1,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:12,74,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1750.779497,1476.470111,2109.622101,1,2695.725193,0,1750.779497,1
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:13,75,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1750.779497,1476.470111,2109.622101,1,2695.725193,0,1750.779497,1
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:14,76,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1748.022639,1513.955005,2102.987244,1,2689.665656,0,1748.022639,1
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:15,77,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1748.022639,1513.955005,2102.987244,1,2689.665656,0,1748.022639,1
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:16,78,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1752.98844,1439.103426,2106.915688,1,2691.267685,0,1752.98844,1
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:17,79,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1752.98844,1439.103426,2106.915688,1,2691.267685,0,1752.98844,1
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:18,80,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1743.119851,1396.398093,2100.55889,1,2685.884358,0,1743.119851,1
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:19,81,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1748.304015,1534.882913,2107.930877,1,2695.688014,0,1748.304015,1
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:20,82,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1748.304015,1534.882913,2107.930877,1,2695.688014,0,1748.304015,1
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:21,83,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1733.252659,1507.16323,2092.676168,1,2680.671568,0,1733.252659,1
289.8,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:22,84,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1733.252659,1507.16323,2092.676168,1,2680.671568,0,1733.252659,1
289.8,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:23,85,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1760.416981,1524.439986,2119.937017,1,2707.543517,0,1760.416981,1
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:24,86,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1760.416981,1524.439986,2119.937017,1,2707.543517,0,1760.416981,1
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:25,87,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1760.416981,1524.439986,2119.937017,1,2707.543517,0,1760.416981,1
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:26,88,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1785.550053,1472.384071,2144.564414,1,2730.480563,0,1785.550053,1
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:27,89,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1785.550053,1472.384071,2144.564414,1,2730.480563,0,1785.550053,1
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:28,90,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1785.550053,1472.384071,2144.564414,1,2730.480563,0,1785.550053,1
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:29,91,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1757.483128,1487.635115,2116.692288,1,2704.387635,0,1757.483128,1
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:30,92,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1757.483128,1487.635115,2116.692288,1,2704.387635,0,1757.483128,1
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:31,93,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1757.483128,1487.635115,2116.692288,1,2704.387635,0,1757.483128,1
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:32,94,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1769.595395,1479.387648,2128.69581,1,2716.237901,0,1769.595395,1
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:33,95,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1769.595395,1479.387648,2128.69581,1,2716.237901,0,1769.595395,1
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:34,96,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,1757.483128,1487.635115,2116.692288,1,2704.387635,0,1757.483128,1
