"Cylinder heating zone 1","Cylinder heating zone 2","Cylinder heating zone 3","Cylinder heating zone 4","Cylinder heating zone 5","Temperature of support housing",Timestamp,"Maximum injection pressure","Injection time","Dosage time","Material cushion","Switch-over volume","Mould temperature control unit 1","Oil temperature",RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,Act_a_optimal,Act_b_optimal,Act_c_optimal,Best_optimal
289.9,300.8,315.0,319.9,319.9,56,2022-03-04T03:47:56,1475.33667,0.234,3.172,0.8912678,1.41334462,95,40,1,1,823.8576737013906,-17.53085059672594,,0,,0,1848.6523266738056,1,709.0990388699245,679.7107812854304,725.5739263321158,1848.6523266738056
289.9,300.9,314.9,319.9,320.0,56,2022-03-04T03:47:57,1475.33667,0.234,3.172,0.8912678,1.41334462,95,40,1,1,826.127796476066,-18.87456724047661,,0,,0,1851.6315628060697,1,703.4965448721911,685.982725757586,721.3742322669053,1851.6315628060697
289.9,300.9,314.9,319.9,320.0,56,2022-03-04T03:47:58,1475.33667,0.234,3.172,0.8912678,1.41334462,95,40,1,1,826.127796476066,-18.87456724047661,,0,,0,1851.6315628060697,1,728.2560822314067,634.1116147642593,730.0005822696074,1851.6315628060697
289.9,300.9,314.9,319.9,320.0,56,2022-03-04T03:47:59,1475.33667,0.234,3.172,0.8912678,1.41334462,95,40,1,1,828.4872020771801,-13.11100123822689,,0,,0,1857.7864049234688,1,712.9327942409113,636.7677715552855,720.4565844584382,1857.7864049234688
290.0,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:00,1475.33667,0.234,3.172,0.8912678,0.0,95,40,1,1,828.4872020771801,-13.11100123822689,2213.0037591783403,0,,0,,1,745.4882470600933,684.052466568792,720.266037989795,2213.0037591783403
290.0,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:01,1475.33667,0.234,3.15,0.8912678,0.0,95,40,1,1,829.2926675759106,-7.475196093320847,,0,,0,1860.6872676655648,1,724.1967427676407,670.4148962053496,745.2313610770484,1860.6872676655648
290.0,300.8,314.9,319.9,320.0,56,2022-03-04T03:48:02,0.0,0.234,3.15,0.0,0.0,95,40,1,1,831.561655769214,-8.791379727423191,2218.871814035058,0,,0,,1,778.245936747772,663.7197063123674,751.2388337192089,2218.871814035058
290.0,300.8,314.9,319.9,320.0,56,2022-03-04T03:48:03,0.0,0.234,3.15,0.0,0.0,95,40,1,1,831.561655769214,-8.791379727423191,2218.871814035058,0,,0,,1,770.6389617278403,677.4738699547069,741.9222111457315,2218.871814035058
290.0,300.8,314.9,319.9,320.0,56,2022-03-04T03:48:04,0.0,0.234,3.15,0.0,0.0,95,40,1,1,828.8676359388082,3.2132208198308945,,0,,0,1857.7406725666224,1,715.1427877474516,693.4025723937596,735.6308896128498,1857.7406725666224
290.0,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:05,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,828.8676359388082,3.2132208198308945,2213.280073380202,0,,0,,1,752.1031525101488,645.2399830270228,743.3987473621273,2213.280073380202
290.0,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:06,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,828.8676359388082,3.2132208198308945,2213.280073380202,0,,0,,1,776.5504984091594,653.0150848228228,740.8144250617445,2213.280073380202
290.0,300.8,315.0,319.9,319.9,56,2022-03-04T03:48:07,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,820.19166673702,-3.7344408854842186,2190.458580008,0,,0,,1,743.249499744908,653.9250886644321,706.060391626331,2190.458580008
290.0,300.8,315.0,319.9,319.9,56,2022-03-04T03:48:08,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,820.19166673702,-3.7344408854842186,2190.458580008,0,,0,,1,766.709407572422,668.1102606529357,716.0000962288844,2190.458580008
290.0,300.8,315.0,319.9,319.9,56,2022-03-04T03:48:09,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,820.19166673702,-3.7344408854842186,2190.458580008,0,,0,,1,747.575525609263,662.7629000137055,732.3508013150978,2190.458580008
290.0,300.8,315.0,320.0,319.9,56,2022-03-04T03:48:10,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,821.6852994756996,96.56161431223154,2179.8978965961037,0,,0,,1,759.5083413375644,659.5701961445855,715.6724228669008,2179.8978965961037
290.0,300.8,315.0,320.0,319.9,56,2022-03-04T03:48:11,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,826.4638071132003,96.42164149135351,,0,,0,1835.6950583019852,1,711.1933813054261,662.2249672554948,730.2312999049535,1835.6950583019852
289.9,300.9,315.0,320.0,319.9,56,2022-03-04T03:48:12,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,824.087295516014,114.44942444935441,2173.57618374151,0,,0,,1,722.3455806541707,651.4812313766805,700.3132402242517,2173.57618374151
289.9,300.9,315.0,319.9,320.0,56,2022-03-04T03:48:13,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,824.0877318934648,114.44945650175214,2173.57635829249,0,,0,,1,743.1942560182083,626.6927433464633,727.3847404422191,2173.57635829249
289.9,300.9,315.0,319.9,320.0,56,2022-03-04T03:48:14,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,824.0877318934648,114.44945650175214,2173.57635829249,0,,0,,1,729.3366034112444,641.0384769558527,721.6871141354744,2173.57635829249
289.8,300.9,314.9,319.9,320.0,56,2022-03-04T03:48:15,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,823.0711469840257,9.438966371119022,2198.317039693415,0,,0,,1,727.3738767609157,658.5902300035149,704.5496169221163,2198.317039693415
289.8,300.9,314.9,319.9,320.0,56,2022-03-04T03:48:16,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,823.0711469840257,9.438966371119022,2198.317039693415,0,,0,,1,776.6335752623376,665.9089654022727,716.7721326894572,2198.317039693415
289.9,300.9,314.9,319.9,320.0,56,2022-03-04T03:48:17,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,828.204778591007,-3.573153220117092,,0,,0,1855.604168567389,1,707.1760301778532,673.3786153753474,713.45805296307,1855.604168567389
289.9,300.9,314.9,319.9,320.0,56,2022-03-04T03:48:18,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,828.204778591007,-3.573153220117092,,0,,0,1855.604168567389,1,713.958037279572,651.0588306137035,732.7854138741578,1855.604168567389
289.8,300.9,314.9,319.9,320.0,56,2022-03-04T03:48:19,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,828.204778591007,-3.573153220117092,2211.671760647446,0,,0,,1,774.4493267641626,653.7861514843948,712.0392538723784,2211.671760647446
