Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,sec
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:50,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,62
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:51,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,63
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:52,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,64
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:53,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,65
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:54,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,66
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:55,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,67
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:56,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,68
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:57,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,69
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:58,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,70
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:59,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,71
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:22:00,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,72
290,301.8,315,319.9,319.9,43,2022-03-04T03:22:01,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,73
290,301.7,315,319.9,319.9,43,2022-03-04T03:22:02,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,74
290,301.7,315,319.9,319.9,43,2022-03-04T03:22:03,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,75
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:04,0,0.234,3.074,0,1.41334462,95,40,1,1,3886.826,3886.826,0,3886.826,0,3886.826,1,76
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:05,0,0.234,3.074,0,1.41334462,95,40,1,1,3886.826,3886.826,0,3886.826,0,3886.826,1,77
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:06,0,0.234,3.052,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,78
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:07,0,0.234,3.052,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,79
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:08,1479.22241,0.234,3.052,0.8957977,0,95,40,1,1,3886.843199,3886.843199,1,3886.843199,0,3886.843199,1,80
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:09,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,81
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:10,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,82
290.1,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:11,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,83
290.1,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:12,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,84
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:13,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,85
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:14,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,86
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:15,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,87
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:16,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,88
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:17,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,89
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:18,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,90
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:19,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,91
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:20,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,92
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:21,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,93
289.8,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:22,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,94
289.8,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:23,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,95
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:24,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,96
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:25,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,97
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:26,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3887.252693,3887.252693,1,3887.252693,0,3887.252693,1,98
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:27,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,99
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:28,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,100
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:29,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,101
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:30,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,102
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:31,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,103
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:32,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,104
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:33,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,105
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:34,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.423723,3887.252693,1,3887.252693,0,3887.252693,1,106
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:35,0,0.234,3.052,0,1.41334462,95,40,1,1,3318.60981,3886.826,0,3886.826,0,3886.826,1,107
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:36,0,0.234,3.106,0,0,95,40,1,1,3319.009243,3886.416507,0,3886.416507,0,3886.416507,1,108
290,301.7,315,319.9,319.9,44,2022-03-04T03:22:37,0,0.234,3.106,0,0,95,40,1,1,3319.009243,3886.416507,0,3886.416507,0,3886.416507,1,109
290,301.7,314.9,319.9,320,44,2022-03-04T03:22:38,1476.58008,0.234,3.106,0.904857635,0,95,40,1,1,3626.605458,3886.843199,1,3886.843199,0,3886.843199,1,110
290,301.7,314.9,319.9,320,44,2022-03-04T03:22:39,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,111
290,301.6,314.9,319.9,320,44,2022-03-04T03:22:40,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,112
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:41,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,113
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:42,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,114
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:43,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,115
290,301.6,314.9,320,319.9,44,2022-03-04T03:22:44,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,116
290,301.6,314.9,320,319.9,44,2022-03-04T03:22:45,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,117
289.9,301.8,314.9,320,319.9,44,2022-03-04T03:22:46,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,118
289.9,301.8,315,320,319.9,44,2022-03-04T03:22:47,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,119
